Word,Description
Bieng biek thiem (n),"one who is good at talking, one who makes others happy with their words"
Biengphaw (n),"the mumps, to have mumps"
Biengsum (n),a dimple
Bieru (v),"to whisper to, to speak secretly to"
Biete (n),the name of a Hmar clan
Biethu (n),the ‘words of love between lovers’
Bigha (n),a measurement of land of approximately 14400 square feet or 0.3306 acres and which is in vogue among Hmars of Assam
Bîk (adj),"more than others, specially, special"
Bikil (n),"button, key (of computer)"
Bikim (adj),"complete, incomplete"
Bil (n),a place where something is grown in large or big number
Bil (v),to gird round the waist (as cloth); sprain (the leg or hand); preparation of traditional wine
Bîl (n),"bill (electric bill, water bill, etc)"
Bilbawk (n),"a knot, string, etc"
Bilding (n),building
Bin (v),to throw over the head (as an antagonist in wrestling)
Bing (adj),"isolated, separated"
Bingbilet (v),to turn head over heels
Bir (v),"vertically, perpendicularly, vertical, to swoop down"
Biru (v),to conceal or hide one's self
Biruon (n),a species of rice
Biskut (n),"acorn squash, biscuit"
Bit (adj),"full, to be full"
Bithla (v),to look into on the sly
Bithliek (v),"to fix amount, period, number, quantity, etc"
Bitum (v),an opponent in a game or warfare
Bo (v),"lost, to be lost, away; to pass away, to cease to be or exist, to burn out (as fire), to disappear"
Bo (prpn),without
Bohmang (n),one who is lost
Bok (adv),"also, too, as well, likewise"
Bok (cjn),"indeed, also, in a way"
Bok (v),"to lie down (as animals), to recline with the head raised"
Bokkhup (v),"to lie on the face, to kneel and bow down in reverence; forward on the face"
Bokphek (v),to crouch
Boksing (v),boxing
Bokvak (v),"crawl, to crawl, crawling, to creep"
Bom (n),bomb
Bong (adv),"to cut through, the cut part"
Boral (adj),"to be ruined, to be completely lost, to cease to exist, to come to nought, to perish"
Boral thei (adj),perishable
Boralna (n),"annihilation, ruin"
Borsaibe (n),a variety of beans
Borsap (n),a term derived from a Hindi term of ‘Bara Saheb’ meaning ‘big sir’ which mostly referred to the British’s Political Agent then and the district Commissioners now
Borsawm (adj),"unhealthy, to be in bad health"
Boruok (n),"the air, the atmosphere, gas, vacuum, space"
BP (n),blood pressure
Braket (n),bracket
Brans (n),branch
Bu (n),"rice, food; a nest, a bunch, a cluster"
Bu (v),"to bellow, to low"
Bu bil (n),jhum land for paddy or rice
Bu chil (v),crashing of paddy using the feet
Bu fak (n),"having food, to take a meal"
Bu he (n),"a glutton, gluttonous"
Bu hlu (v),to lift paddy in the barn
Bu in (n),"a barn, a granary"
Bu par (n),ear of paddy
Bu suongtu (n),"a cook, one who cooks rice"
Bubal sen (n),carrot
Bubel (n),rice pot
Buchang rum (n),cooked plain rice
Buchil (v),thrashing of paddy by human foot
Buchip (n),a period when children are still in infant stages
Buchium (n),"a chrysalis, a cocoon in which paddy seeds are stored"
Budel (n),the last-born baby
Budum (n),black rice
Bufai (n),cleaned rice
Bufai rel (n),a rice container
Bufaithram (n),a handful of rice put aside by women for the Church before cooking for the family in the morning and evening
Bufak inhnik (v),"to have a good appetite, a parting word"
Bufak inhnik lo (v),to have no appetite
Bufak inhnik rawh (n),kind of ‘well-wishing’ words; to wish for a good meal
Bufak inhnikna (n),an appetizer
Bufûn (n),tiffin
Buhak (n),a spreadsheet made of split bamboo used to dry paddy over the fireplace
Buhmûi (n),the name of a species of rice
Buhril (n),a Hmar Thiek sub clan
Buhûm (n),unhusked rice
Bûi (n),"the bamboo rat, weasel"
Buiekthei (n),a variety of wild tree with edible fruit
Bûikelek (n),the hoary bamboo rat
Buk (v),to add more woods on the fire
Buk (adj),"dishevelled, rough, bushy"
Bûk (n),"a booth, a hut, a temporary house"
Bûk (v),"to weigh; to compare, to contrast"
Bukem (n),small species of broken rice produced in the process of pounding
Bûklung (n),the weight of a weighing scale
Bûkna (n),a weighing machine
Bukngek (n),a variety of wild tree
Bûkte (n),"a booth, a hut, a temporary house"
Bul (n),"beginning, root"
Bul (adv),near
Bûl (adj),blunt
Bul nei (v),to have someone upon whom to rely or fall back upon
Bul tum (v),"to bear the consequences or blame of anything, to offer or to be ready to bear the consequences or blame of anything"
Bulah (adv),"close to, nearby, alongside"
Bulbal (n),"a bulb, a tuber"
Bulbal nei (adj),"bulbous; reason, ground"
Bulbawk (n),"a bulb, a tuber"
Buleng (n),name of a tree
Bulhlawng (n),name of parasitic flowering plant
Bulhnai (prep),"near, close to, close by"
Bullut (n),a variety of pigeon bird
Bulpui (n),one upon whom one relies in time of need; the main root or origin; name of tree
Bulthur (n),a variety of wild tree
Bulthut (n),the main supporter or origin
Bûm (v),"to gather, to assemble"
Buman (n),"sticky rice, glutinous rice"
Buman bei (n),pounded bread made of sticky rice
Bun (v),"to pour out, to empty out; to put on or wear (as ring, boots, etc)"
Bung (n),"a portion, a part, a chapter"
Bung (n),the banyan tree
Bungbu (v),to bow down head with the buttock raised up
Bungdawntuoi (n),poetical term for offspring or one’s child
Bunglung (n),a Hmar Khawbung sub clan
Bungpui (n),the great banyan tree
Bungruo (n),"baggage, luggage, belongings, etc"
Buo (v),to spread out or leak out unintentionally
Buoi (v),"to be confused, to be muddled, to clamour; busy"
Buoina (n),"trouble, problem, difficulty"
Buoipui (v),"taking care, to get involved with"
Buoithlak (adj),"confusing, muddling"
Buok (v),"to pour out (as a fluid, etc), to water plants"
Buon (v),"wrestling, to wrest"
Buon ang pom (v),to embrace someone like a wrestler holds opponents
Buong (n),"blue, buff coloured"
Buongbar (v),"distort, pervert, lead astray"
Buongpui (n),a Hmar Pakhuong sub clan
Buonhrat (n),a variety of wild tree
Buonhrat hlo (n),name of weed
Buonlei (n),poetical term for earth or soil
Buonlei chang (v),a poetical term for to be dead and be buried
Buonnel (n),poetical term for the high mountains
Buonsam (adj),an easy woman
Buonsuongtu (n),a Hmar Zote sub clan
Buor (n),the generic name for the thistle family having a medicinal value
Buor (adj),"not clean, filthy, disorganised"
Buorpui (n),name of big wild grass
Buotsai (v),"to prepare, to get ready"
Buotsai lawk (v),to make preparation beforehand
Buotsei (v),"to prepare, to get ready"
Bupang (n),a temporary storing place of yet to be husked paddy
Bupawl (n),straw
Buphal (n),"stack of rice, sheaf of grain"
"Bupok (n, adj)",soft cooked rice (for the sick or babies)
Bupui (n),a species of rice
Bur (v),"to pour out (water, etc)"
Bûr (n),"a container, a gourd, a vessel; to pierce, to stick in (as an arrow, etc)"
Bur le bel (n),utensils
Burum (n),"solid food, hard cooked rice"
Busakhi (n),the name of a species of rice
Busanghar (n),the name of a species of rice
Busep (v),"to sift rice, sifting of rice"
Busi (n),"the chaff, rice husk"
Busîk (v),to gather in the harvest
Busik hun (n),"harvest season, reaping time"
Busung Sadar (n),a portion of paddy and animal foreleg given to the Chief of a village by his subjects as compulsory tax
But (v),to boil or cook without salt or spices
Butak khuka khukpui (v),to take it with all seriousness
Butehlem (n),"tares, duplicate rice"
Buthring (n),leftover of cooked rice
Butlang (n),a lump of cooked rice
Butu Khuonglawm (n),a traditional Hmar seed sowing festival
Butuihang (n),the soften liquid or water when rice is cooked
Butun (n),millet
Butupuon (n),"flannel, woollen cloth"
Butut (adj),hot and hasty tempered
Buvawr (v),"to toss, to gamble"
Buvûi (n),the ripen paddy
Buvuok (v),to thresh the rice
Buzam (n),the name of a species of rice
Buzawl (n),"one’s locality, one’s village, one’s hometown, city or country"
Buzêm (n),container of un-husked paddy
Cha (n),"bait, to bait"
Cha (n),the weeded or cut grasses kept aside (jhum)
Cha (v),"lost, not gain"
Cha (v),"to send for it, to give or send a message"
Chabet (n),"a burr, a variety of grass plant"
Chabi (n),key
Chaden (n),a chopping board or wood
Chai (adv),waste or spent (of time) on one specific purpose
Chaiche (n),"tongs, pincers, tweezers"
Chaih (v),"to wrestle, to struggle; to play with or to tire out animal (cow, buffalo or mithun)"
Chaileng (n),a Hmar Changsan sub clan
Châk (v),"desire, long for, to like, to want to eat, to be fond of (eatables)"
Chak um (adj),"desirable, attractive"
Chakai (n),an anchor (made of iron)
Chakawk (v),"an edible fern plant, bracken (Pteridium)"
Chakawt (v),to lose everything
Chakawt rawt (adv),"extreme lost, greatest or biggest lost"
Chakcha (n),name of a variety of jungle fowl
Chakkhai (n),"a necessity, a requisite, essentials, needs"
Chakma (n),name of tribe
Chakna (n),"lust, longingness, desire"
Chakvak (adj),not the normal strength or position
Chal (n),"affix denoting the masculine gender; the forehead, the brow"
Châl (n),a species of bamboo
Chal ki sa (adj),a term meant to describe the anger and desperate temperament when one’s lover move out with another
Chalak (adj),"derived from a Hindi term which mostly means clever, cunning, etc"
Chaldawng (n),"name of a wild plant (elephant foot yam) almost similar to arum and the tuber, stem and buds of only the ‘male’ plant is edible albeit with certain specific and intricate process (‘female’ plant bears arum like flower and has no leaves and is called ‘telkawng’; ‘male’ plant has leaves spreading like umbrella and bears a potato-like fruit at the base of the leaves)"
Chaldel (v),to over-owe or impose by one’s commanding presence
Challang (v),"to be popular, prominent, etc"
Chalngal (adj),"a long forehead, bald forehead"
Chalngeng (n),"the patriarch, the strongest and most prominent male member (of a family, group, etc)"
Chalrang (n),a term used to call those peoples who apply vermilion on their foreheads (esp Hindus)
Chalrem (v),to dismiss or settle a case or dispute
Chalru (n),the wall lizard
Chalte (n),the name of a species of bamboo also known as ‘chatte’
Chalthei (n),name of a species of wild pear
Chaltuoi (n),"a young boy, young male animals"
Cham (adj),champ
Châm (v),"to stay, to remain in a place over a day or night, to sojourn"
Cham lovin (adv),with no choice left
Châmbang (v),"to remain in a place over a day and night, to sojourn"
Chamchi (adv),"repeatedly, again and again"
Champara (n),name of fruit (citrus family)
Champha (n),anniversary
Champion (n),champion
Chan (n),"lot, portion, luck, share"
Chan (v),"to cut up, to slice up"
Chàn (v),"to watch for, to waylay, to lie in wait, to lie in ambush"
Chân (v),"to lose (as by death, fire, raid, etc), to be deprived of"
Chan chin (n),a share
Chan thra (v),"to go well with one, a good share"
Chana (n),a Hindi originated word for beans
Chanai (n),"a portion, share, a lot"
Chanchin (n),"story, tiding, news, account, history"
Chanchinbu (n),newspaper
Chanchinthar (n),news
Chanchinthra (n),"gospel, good tidings, good news"
Chang (n),"right (side), opposite of left; the long feathers of a bird's tail or of porcupine"
Chang (v),"to change into, to become, to receive as a share or portion"
Chang (adj),"hard, (not soft), ripe, mature, to be hard; one’s well being"
Cháng (n),"a joint (as of fingers, bamboo, etc), a verse of a song or poem or the Bible; trap, a snare"
Chàng (v),"move, to be in motion"
Cháng (adv),"occasional, sometimes"
Cháng cháng (adv),"a little, slightly"
Cháng chángin (adv),"occasionally, sometimes"
Chang thlang (n),a Bible text one chose for a sermon or discourse
Chang tieng (n),"right side, right hand site"
Changal (n),"potash, lye potassium bicarbonate"
Changal Hme (n),a Hmar’s indigenous curry cooked with sodium bicarbonate (juice extracted from ashes of the hearth in the traditional form) and fermented pork
Changal thlakna (n),a spoon used for measuring ‘changal’
Chângchaldâwn (n),name of edible wild plant
Changchawi (v),"to use as an excuse, to make it as an excuse for"
Changdam (n),the name of a variety of cane
Changer (n),the month of October
Changhrat (n),name of a variety of wild banana
Changkak (n),name of wild bird
Changkalrit (n),"the name of a weed with sticky flowers which adhere to one’s clothes, etc"
Changkang (v),"to be better (after being ill), to be in better position, well-off"
Changkang (adj),"advanced, above average"
Changkawl (n),a type of trap
Changkawrdawk (n),name of a species of bird
Changkham (n),a wooden pole place on the lower most area of a jhum so as to prevent loose and fertile soil to slip down or from being carried away by rain water
Changkhang (n),same as ‘changkham’
Changkor (n),stag moss
Changkuong (n),a compartment of wet paddy field
Changkuong chem (n),a long knife used for cutting the edge of ‘changkuong’
Changlong (n),a variety of wild edible banana
Changman (n),"a species of rice, used for making beer and spirits."
Changnal (n),name of a variety of wild banana
Changpânva (n),name of a species of bird
Changpat (n),"a worm, a moss"
Changpawl (n),straw after harvest
Changpawl (n),a jhum covered with stubble or straw after harvest
